month,total_passengers,month_name,per_capita_ridership
1,61040332,January,3.8533373735078182
2,63443256,February,4.005028502168438
3,74738772,March,4.718088744957673
4,71808241,April,4.533090985991958
5,77604746,May,4.899011167294788
6,75487693,June,4.765366424887475
7,62299224,July,3.932808363161184
8,67385807,August,4.2539127827333045
9,74674312,September,4.7140195317185265
10,89331529,October,5.639296315234614
11,85124266,November,5.373701367977829
12,87866824,December,5.546832818842364
